alpha,loss_on_signal,loss_on_shuffled
0.0,0.07254476939942614,0.40028488564376646
0.001,0.0880903308738014,0.3191646594652691
0.01,0.10910124799254216,0.3467756772135125
0.1,0.1860682261286771,0.4564708239094426
1.0,0.3024529334097154,0.5452572067912954
10.0,0.3596781643461257,0.5897643629891368
0.0,0.07052618486052281,0.3740330115162159
0.001,0.07059911362306628,0.36421386034299547
0.01,0.09100105115598904,0.3467340105607246
0.1,0.20085156426139641,0.49474083085974246
1.0,0.3015604283322878,0.5551053481176496
10.0,0.38215238710164645,0.6026706586126238
0.0,0.08413182628322602,0.3587036145170434
0.001,0.07749245772781202,0.35560168612461823
0.01,0.11578713282212377,0.33698995480797467
0.1,0.19467104997464119,0.4981106028605539
1.0,0.3335993092044261,0.6002378473774745
10.0,0.363037495395894,0.5646528715912539
0.0,0.08056411808980411,0.3156573966709682
0.001,0.09955024291757414,0.3694886928066038
0.01,0.10060340602603901,0.3515910496912861
0.1,0.1773778789879587,0.4826600718885087
1.0,0.3302261026177663,0.6034124044414896
10.0,0.3369725707565382,0.5505467266417466
0.0,0.08426560739809037,0.32844840734301567
0.001,0.09176665622662156,0.34848778012271325
0.01,0.09873596119173446,0.39534769243954754
0.1,0.19943064593392662,0.4493077842679878
1.0,0.3391774229211688,0.532575007671347
10.0,0.39436492778524834,0.5729130781613864
